epoch,lr,next_lr,train_loss,train_cls_loss,train_seg_loss,train_accuracy,train_iou,train_dice,val_loss,val_cls_loss,val_seg_loss,val_accuracy,val_iou,val_dice
1,0.001,0.001,4.137367258901182,3.614710836306862,0.5226564203267512,0.025135869565217392,0.5225692258582513,0.6642452086445129,4.079214676566746,3.615028246589329,0.4641864053581072,0.017663043478260868,0.5546623986700306,0.7007546606271163
2,0.001,0.001,4.04134213924408,3.6117116782976235,0.42963044669317163,0.030570652173913044,0.5886760117567104,0.7295229039762331,4.034111292465873,3.6165411368660303,0.41757012061450793,0.012228260869565218,0.5925669618274855,0.7312528983406399
3,0.001,0.001,4.0102978737457935,3.60701213453127,0.40328572334154794,0.030230978260869564,0.6172977847897488,0.7511309527832529,4.005239745844966,3.6154931939166524,0.3897465584070786,0.012228260869565218,0.616992157438527,0.7509461148925449
4,0.001,0.001,3.9756852725277776,3.5927684177523074,0.3829168683808783,0.03294836956521739,0.6374736881774404,0.7666322815677394,3.9719851327979048,3.608083559119183,0.36390159311501874,0.019021739130434784,0.6396831610928411,0.7682095299596372
5,0.001,0.001,3.9487111568450928,3.586598409258801,0.3621127492059832,0.042119565217391304,0.6593348105316577,0.7821524778138036,3.9325956365336543,3.6016050110692563,0.33099062287289166,0.03125,0.6734555415485216,0.7918492996174357
6,0.001,0.001,3.8986821381942085,3.559643245261648,0.33903889325649844,0.04789402173913043,0.6805492843622747,0.7978920943063238,4.001755527828051,3.595185186551965,0.40657037366991455,0.020380434782608696,0.6269429870273756,0.753313466258671
7,0.001,0.001,3.89370842601942,3.533428002958712,0.36028042468039884,0.050611413043478264,0.6662252720283426,0.7867862407280051,3.906035091566003,3.5500186318936557,0.3560164493063222,0.025815217391304348,0.6493551005487856,0.7761920638706373
8,0.001,0.001,3.7737630631612693,3.4514393910117773,0.32232366729041806,0.058084239130434784,0.6967802494764328,0.8107283769742303,3.7950640346692954,3.4633873649265454,0.3316766503064529,0.051630434782608696,0.6753287885500037,0.7951643726100093
9,0.001,0.001,3.7347011514331983,3.408022590305494,0.3266785611277041,0.07133152173913043,0.6941893489464469,0.8083699980507726,3.762707855390466,3.440701961517334,0.32200590812641644,0.07201086956521739,0.6843569511952607,0.8015736885692762
10,0.001,0.001,3.6448436716328496,3.3325843551884526,0.31225930931775464,0.08933423913043478,0.7055056937362837,0.8165471365918284,3.690420441005541,3.3757934155671494,0.3146270228468854,0.07744565217391304,0.69014085634895,0.8043942503307177
