epoch,lr,next_lr,train_loss,train_cls_loss,train_seg_loss,train_accuracy,train_iou,train_dice,val_loss,val_cls_loss,val_seg_loss,val_accuracy,val_iou,val_dice
1,0.001,0.001,4.184185872907224,3.613649790701659,0.5705360676283422,0.026494565217391304,0.44272713346993187,0.5815939553407875,4.097309195477029,3.6146484457928203,0.48266076005023456,0.017663043478260868,0.559534850327865,0.7038856485615606
2,0.001,0.001,4.019391842510389,3.612435649270597,0.40695618093013763,0.026494565217391304,0.5996765863636265,0.73705369817174,3.983527950618578,3.6175241677657417,0.36600378026132996,0.01358695652173913,0.6346877813339233,0.7656707323115804
3,0.001,0.001,3.9615894400555156,3.6102690748546435,0.35132037103176117,0.030230978260869564,0.651501780618792,0.777130377681359,3.950340799663378,3.6182774875475014,0.33206332766491437,0.01358695652173913,0.6737992919009664,0.7925808766613835
4,0.001,0.001,3.9282990486725518,3.6042360171027807,0.324063034809154,0.03091032608695652,0.6760743992484134,0.7951105923756309,3.9339396227961,3.6159163143323814,0.31802330716796545,0.01358695652173913,0.6775077892386395,0.7979872174884962
5,0.001,0.001,3.8954822161923284,3.5940827934638313,0.30139942046092905,0.04042119565217391,0.6975182728922885,0.8106579158617102,3.90516792172971,3.607336002847423,0.2978319253610528,0.021739130434782608,0.7023703818735869,0.8145191021587538
6,0.001,0.001,3.862601990285127,3.5776938433232517,0.28490815133504244,0.049592391304347824,0.7130791732798452,0.8214141266501468,3.8662165973497475,3.581183671951294,0.2850329137366751,0.03260869565217391,0.7148772659509078,0.8222116180088209
7,0.001,0.001,3.809517018173052,3.524040198844412,0.2854768032936946,0.058084239130434784,0.7118307721355687,0.820803116845048,3.846250461495441,3.53430582129437,0.31194464020107104,0.042119565217391304,0.6850050817365232,0.801909775837608
8,0.001,0.001,3.731103935967321,3.4439126356788305,0.28719130547150323,0.07438858695652174,0.713103939657626,0.8217217293770417,3.8657305862592612,3.5694034099578857,0.2963271860195243,0.03804347826086957,0.7023084785627283,0.8149174166762311
9,0.001,0.001,3.654727308646492,3.3689219744309136,0.2858053421520669,0.08695652173913043,0.7151959830004236,0.8228020849435226,3.7160265756689985,3.4416953480761983,0.27433123083218286,0.06114130434782609,0.721730641696764,0.8282070185827173
10,0.001,0.001,3.576192487841067,3.2949253191118655,0.28126717213055363,0.09850543478260869,0.7219440710285435,0.827393053666405,3.6769930383433467,3.3857286909352178,0.29126435906990716,0.051630434782608696,0.7133743166923523,0.821395861065906
11,0.001,0.001,3.52470238312431,3.242670214694479,0.28203216859179997,0.09680706521739131,0.7198258003462916,0.826444382900777,3.626354932785034,3.3499360188193945,0.2764189172050227,0.059782608695652176,0.722785833089248,0.8298764721206997
12,0.001,0.001,3.433638785196387,3.1666698611300923,0.2669689320027828,0.10835597826086957,0.7309603736452435,0.8343130745317625,3.672514656315679,3.406736601953921,0.2657780355733374,0.07201086956521739,0.7359519963679106,0.8387140942656476
13,0.001,0.001,3.3510715469070105,3.0946142621662305,0.25645728409290314,0.11786684782608696,0.7400884472805521,0.8408078842836878,3.5207547830498735,3.256517503572547,0.2642372736464376,0.09375,0.733027388220248,0.8366802619851154
14,0.001,0.001,3.239430142485577,2.9943582363750623,0.24507190562460734,0.1402853260869565,0.7494913566371669,0.847456280304038,3.4183341109234355,3.155849892160167,0.2624842155238856,0.08831521739130435,0.7372570141502048,0.8396127198053442
15,0.001,0.001,3.175441034462141,2.9321567623511604,0.2432842669279679,0.14911684782608695,0.7513982277849446,0.8485491800567379,3.3459769331890605,3.0952879449595576,0.2506889875816262,0.11413043478260869,0.7481790107229481,0.8458229329275049
16,0.001,0.001,3.100227716176406,2.8595690260762754,0.24065868750862454,0.16202445652173914,0.7533349790002989,0.850093296688536,3.49315971913545,3.2417431499647056,0.2514165814803994,0.09375,0.7440354746320973,0.8437397790991742
17,0.001,0.001,2.975748595984086,2.7349402697189995,0.2408083262650863,0.19735054347826086,0.7558281363352485,0.8515635573345682,3.256060486254485,3.007618510204813,0.24844197993693146,0.15489130434782608,0.7512472816135572,0.848775301290595
18,0.001,0.001,2.9867775181065435,2.7477669767711475,0.23901053420875384,0.19395380434782608,0.7564143467208614,0.8521825541620669,3.3233990565590235,3.0678277533987295,0.25557128566762677,0.1331521739130435,0.7475221882695737,0.8452958620112875
19,0.001,0.001,2.7864119073619014,2.5640613644019417,0.22235053534740987,0.2313179347826087,0.7696759856265524,0.8613072374592656,3.371432117793871,3.126081269720326,0.2453508772279905,0.12771739130434784,0.7523869638857634,0.8495201364807461
20,0.001,0.0005,2.7166385287823887,2.497629966424859,0.21900857693475226,0.2547554347826087,0.7736362121675325,0.8642365660356439,3.2929193040598994,3.043416862902434,0.24950244374897168,0.15760869565217392,0.7478740033896073,0.8471955164619114
21,0.0005,0.0005,2.4032809164213096,2.2007124864536785,0.20256843984774922,0.32540760869565216,0.7887294383152671,0.8746317022520563,3.3395185988882314,3.091052604758221,0.24846601097480112,0.1875,0.7489562915719074,0.8472306028656338
22,0.0005,0.0005,2.258645749610403,2.0629115908042244,0.19573415167953656,0.3515625,0.7945256090682485,0.878532302768334,3.2823136060134224,3.032968790634819,0.24934482963188834,0.19021739130434784,0.7531435075013534,0.8496675854143889
23,0.0005,0.00025,2.1353879545045937,1.9509380978086721,0.1844498539424461,0.3773777173913043,0.8055630773305893,0.8860746324062347,3.4398984805397363,3.199390110762223,0.24050837107326672,0.19972826086956522,0.7592788286831068,0.8538764378298884
24,0.00025,0.00025,1.945863646009694,1.7743898552397024,0.17147379028408424,0.4296875,0.8182967227438221,0.8946976117465807,3.474917525830476,3.226457233014314,0.24846029022465582,0.19701086956521738,0.7582024802332339,0.8535823044569596
25,0.00025,0.00025,1.8274952199148096,1.6634818315505981,0.16401338496285936,0.46365489130434784,0.8253126332293386,0.8993524546208589,3.4735097677811333,3.2252566088800845,0.24825315825317218,0.20652173913043478,0.7572241917900417,0.8524056828540304
26,0.00025,0.000125,1.7457839431970015,1.5845106360705004,0.16127330858422362,0.4779211956521739,0.8281126385149749,0.9011397063732147,3.6968938578730044,3.4417770219885786,0.2551168339407962,0.20516304347826086,0.7562625356342482,0.8523941506510195
27,0.000125,0.000125,1.6007015925386678,1.452323890250662,0.14837770487951196,0.53125,0.8404014253098032,0.9091834063115327,3.709730407466059,3.4453928677932075,0.2643374917299851,0.2078804347826087,0.750719842703446,0.8485446261323016
