epoch,lr,next_lr,train_loss,train_cls_loss,train_seg_loss,train_accuracy,train_iou,train_dice,val_loss,val_cls_loss,val_seg_loss,val_accuracy,val_iou,val_dice
1,0.001,0.001,4.195143559704656,3.615328451861506,0.5798151016883228,0.022758152173913044,0.4177204331124072,0.5365451098004413,4.165872739708942,3.6143541647040327,0.5515186112859974,0.017663043478260868,0.5004867237547169,0.6435903854992079
2,0.001,0.001,4.055002790430318,3.612642088662023,0.4423606930219609,0.026154891304347828,0.5913972750954006,0.730267078332279,4.068589169046153,3.6160867939824644,0.45250237765519513,0.019021739130434784,0.5856062484824139,0.7203782226728357
3,0.001,0.001,4.000843856645667,3.610990892285886,0.38985295399375586,0.028872282608695652,0.6348706788342932,0.7647372289844181,4.002665011779122,3.618182441462641,0.38448259752729663,0.016304347826086956,0.6330788083698439,0.7605086772338204
4,0.001,0.001,3.961718898752461,3.609972598760024,0.35174630549938785,0.03091032608695652,0.6694258082172145,0.7899473024451215,3.963891133018162,3.617983507073444,0.34590762853622437,0.014945652173913044,0.6618990768557009,0.7836441734562749
5,0.001,0.001,3.9298947323923525,3.598337207151496,0.3315575317196224,0.036684782608695655,0.686992909597314,0.8033615020306214,3.9301283152207085,3.598035055658092,0.3320932660413825,0.021739130434782608,0.6687982237857321,0.7884416917096013
6,0.001,0.001,3.875791847705841,3.5260516560595967,0.3497401828999105,0.04755434782608696,0.6746795138587123,0.7932679277399312,3.8813003768091616,3.5580615064372187,0.32323889758275903,0.033967391304347824,0.6805881987447324,0.7981676537057628
7,0.001,0.001,3.785679729088493,3.4600835934929224,0.32559613721526187,0.059782608695652176,0.6925874222879824,0.8075378271548644,3.846072580503381,3.5412092208862305,0.30486336480016296,0.025815217391304348,0.6932340160660122,0.8085457371628803
8,0.001,0.001,3.6854980898940046,3.3852761050929194,0.30022198382927023,0.06283967391304347,0.7151885570391364,0.8241806043230969,3.780600869137308,3.464081567266713,0.3165193303771641,0.04483695652173913,0.6769988951475724,0.7949105138364045
9,0.001,0.001,3.6739255682281824,3.369130230468252,0.3047953379218993,0.07472826086956522,0.7114487627278203,0.821168487486632,3.831916270048722,3.521203849626624,0.310712403577307,0.036684782608695655,0.6927142868871274,0.8064228270364844
10,0.001,0.001,3.610221476658531,3.3153096281963848,0.29491185315925145,0.08084239130434782,0.7204668586668761,0.8276587569195292,3.7066476345062256,3.401759386062622,0.30488822771155316,0.05434782608695652,0.7052462541538737,0.8165071243825166
11,0.001,0.001,3.60463199408158,3.3103377767231152,0.2942942184922488,0.08050271739130435,0.7210114008706549,0.8278974618600763,3.6867779337841533,3.3936609599901284,0.293116943343826,0.05434782608695652,0.7126017808914185,0.8202173709869385
12,0.001,0.001,3.54146241882573,3.25802044764809,0.28344195546663326,0.09239130434782608,0.7294467091560364,0.8336721153362937,3.733806952186253,3.4277832300766655,0.3060237311798593,0.050271739130434784,0.7012544688971146,0.8117502616799396
13,0.001,0.001,3.4873746063398277,3.2084467203720757,0.2789278883972894,0.10801630434782608,0.7336551346208738,0.8366959380066913,3.6827635868735937,3.3970765756524126,0.28568700409453845,0.07472826086956522,0.7166440512823022,0.8241259844406791
14,0.001,0.001,3.424849492052327,3.1513018530348074,0.2735476422569026,0.11514945652173914,0.7388367115155511,0.8402923637110254,3.6384407955667246,3.2860862586809243,0.3523545679838761,0.07065217391304347,0.6710521889769513,0.7863825637361278
15,0.001,0.001,3.400632251863894,3.1284286690794905,0.27220358586181764,0.12669836956521738,0.7392791801172754,0.8411062865153603,3.549608106198518,3.264675980028899,0.2849321106205816,0.09918478260869565,0.7170224708059559,0.8235476431639298
16,0.001,0.001,3.3463164101476255,3.0761815646420354,0.2701348419422689,0.1253396739130435,0.7403291120477344,0.8409072530010472,3.6293337759764297,3.3357162268265435,0.293617563403171,0.08831521739130435,0.7134914968324744,0.8208383814148281
17,0.001,0.001,3.291029025679049,3.0159389687621077,0.2750900630717692,0.13960597826086957,0.7392997767614282,0.8403180189754652,3.4245542650637417,3.139156828755918,0.2853974291811819,0.10597826086956522,0.724768314672553,0.8296438922052798
18,0.001,0.001,3.246528718782508,2.9825501597445943,0.2639785538549009,0.15217391304347827,0.7454556142506392,0.8446872150120528,3.5097119497216265,3.2195531181667163,0.2901588289634041,0.09918478260869565,0.7159163796383402,0.8227412104606628
19,0.001,0.001,3.146021754845329,2.8910762071609497,0.2549455441210581,0.18138586956521738,0.7539381734702898,0.8505609605623328,3.370174636011538,3.0849653430607007,0.2852093110913816,0.12635869565217392,0.719672837983007,0.823663724505383
20,0.001,0.001,3.0493920523187388,2.793143738871035,0.25624830761681433,0.2027853260869565,0.7538428649954174,0.8505142810552017,3.3452574377474575,3.0843614495318867,0.2608959869198177,0.11141304347826086,0.7364952227343684,0.8380407950152522
21,0.001,0.001,2.981120036995929,2.7269383306088657,0.25418170185192773,0.21976902173913043,0.7546805408985718,0.8509059826964918,3.143851207650226,2.891026092612225,0.25282511244649475,0.16983695652173914,0.743305530237115,0.8429307471150937
22,0.001,0.001,2.9241406554761142,2.6735757382019707,0.25056491614035936,0.22927989130434784,0.7572623160870179,0.8529095882954805,3.252006437467492,2.9966892677804697,0.2553171742221583,0.1480978260869565,0.7367268930310789,0.8394743851993395
23,0.001,0.001,2.8385248987571052,2.5949998264727383,0.24352507924903993,0.24728260869565216,0.7646095564831858,0.8579110334748807,3.212277028871619,2.9462557460950767,0.2660212775935297,0.14130434782608695,0.7295171773951986,0.8317270926807238
24,0.001,0.001,2.7710347797559653,2.5242872730545374,0.2467475088070268,0.2564538043478261,0.7628765605066133,0.8567478844653005,3.139204906380695,2.8778571771538775,0.26134770979052,0.1956521739130435,0.736946077450462,0.8367598937905353
25,0.001,0.001,2.729674624360126,2.4843394600826763,0.24533516719289447,0.2639266304347826,0.7633030077685481,0.8569252724232881,3.246621204459149,2.9891295640364937,0.2574916281130003,0.15081521739130435,0.7320273259411687,0.8340708457905314
26,0.001,0.001,2.7034435064896294,2.458027571439743,0.24541592776127483,0.26596467391304346,0.764588595084522,0.8574731077836908,2.9177521311718486,2.656639233879421,0.26111291284146515,0.20380434782608695,0.7363180362659952,0.837445678918258
27,0.001,0.001,2.546211724695952,2.311058194740959,0.2351535202368446,0.313179347826087,0.7725073293499325,0.8630352881939515,2.86189517767533,2.6219440750453784,0.23995109420755636,0.21467391304347827,0.7544145117635312,0.8507186355798141
28,0.001,0.001,2.519242885320083,2.2838962894418966,0.23534658470231554,0.32438858695652173,0.7730689476365629,0.8632068407276402,3.0668943342955215,2.8200162079023277,0.24687813935072525,0.19157608695652173,0.7551225086917048,0.8504843400872272
29,0.001,0.001,2.433066892883052,2.2017349976560343,0.2313318955509559,0.32608695652173914,0.7759744557349578,0.8654753708321116,2.971965561742368,2.719282979550569,0.2526825996844665,0.23233695652173914,0.7425454388494077,0.8410507932953213
30,0.001,0.0005,2.3917295906854714,2.165437076402747,0.22629251590241556,0.33865489130434784,0.7796217559472375,0.8682447082322576,2.961045047511225,2.713254161503004,0.24779088147308515,0.22826086956521738,0.7551591499992039,0.8500110714331918
