Experiment,Classification Accuracy,Mean IoU,Mean Dice,Valid-mask Mean IoU,Valid-mask Mean Dice
No Augmentation,0.14009266830198963,0.7607186463783079,0.8539939655793659,0.7621727761909659,0.8556263981023849
Geometric Augmentation,0.24502589261379124,0.7623290974036586,0.8546877034713151,0.7637863074651736,0.8563214592421493
Geometric + Appearance,0.2744617061869719,0.751952417737036,0.8474451602073871,0.753389795201973,0.8490650767388508
